Source,Target,Weight
12,27,5.272
11,26,3.441
15,26,3.108
17,27,2.881
15,20,2.803
15,19,2.727
22,27,2.48
12,17,2.277
14,25,2.216
12,22,2.131
24,23,2.051
10,18,2.029
17,26,2
17,22,1.959
13,27,1.881
4,23,1.806
23,27,1.786
3,27,1.764
3,4,1.75
11,17,1.664
20,19,1.63
18,16,1.621
10,14,1.559
3,22,1.474
12,13,1.463
6,11,1.45
6,8,1.438
6,7,1.403
10,27,1.387
17,23,1.376
17,24,1.349
3,12,1.34
6,16,1.332
12,25,1.328
12,23,1.325
