Source,Target,Weight
11,26,0.129
15,26,0.1282
15,20,0.1164
15,19,0.1025
10,18,0.0959
24,23,0.0939
12,27,0.0926
14,25,0.0874
18,16,0.0868
20,19,0.0802
4,23,0.078
17,26,0.0757
3,4,0.073
14,18,0.0696
17,27,0.068
1,4,0.0656
16,26,0.0638
22,27,0.063
10,14,0.0608
6,8,0.0599
8,18,0.0595
4,24,0.0584
19,21,0.0573
4,7,0.057
8,14,0.0566
4,5,0.0565
6,16,0.0563
6,11,0.0561
12,17,0.0561
12,22,0.0558
8,9,0.0557
6,7,0.055
13,27,0.0549
10,16,0.0548
17,24,0.0548
