Source,Target,Weight
12,27,3.396
15,26,2.733
11,26,2.698
17,27,2.492
15,19,2.418
15,20,2.408
22,27,2.221
14,25,2.005
24,23,1.926
12,17,1.911
17,26,1.883
12,22,1.829
17,22,1.786
10,18,1.751
13,27,1.693
23,27,1.659
20,19,1.567
18,16,1.531
4,23,1.513
11,17,1.504
10,14,1.42
3,27,1.412
12,13,1.364
3,4,1.349
17,23,1.312
6,11,1.304
17,24,1.301
6,8,1.286
12,25,1.284
16,26,1.283
10,27,1.283
3,22,1.277
6,7,1.264
10,16,1.259
12,23,1.259
