Source,Target,Weight
12,27,0.107
3,4,0.107
11,26,0.071
12,17,0.071
15,20,0.064
15,19,0.064
10,18,0.058
15,26,0.053
12,22,0.052
6,8,0.051
6,7,0.048
6,11,0.046
3,12,0.043
17,27,0.042
3,9,0.041
4,23,0.04
10,14,0.04
14,25,0.039
11,17,0.038
12,13,0.036
3,27,0.033
17,22,0.032
3,22,0.031
3,7,0.031
22,27,0.028
18,16,0.027
1,17,0.027
13,27,0.026
6,16,0.026
8,14,0.026
17,26,0.024
24,23,0.021
10,16,0.021
8,9,0.021
5,7,0.021
